Name,City,Location
Goat & Vine,San Diego,Temecula
Taco Stand,San Diego,Encinitas
All Day Baby,Los Angeles,Silverlake
Barton G,Los Angeles,West Hollywood
Bavel,Los Angeles,Arts District
Howlin' Rays,Los Angeles,Echo Park
Simon,Los Angeles,Silverlake
Juene et Jolie,San Diego,Carlsbad
Morning Glory,San Diego,Little Italy
Buona Forchetta,San Diego,Leucadia
The Grass Skirt,San Diego,Pacific Beach
Anajak Thai,Los Angeles,Sherman Oaks
Bacari,Los Angeles,Silverlake
Cobi's,Los Angeles,Santa Monica
Cosa Buona,Los Angeles,Echo Park
Courage Bagels,Los Angeles,East Hollywood
Fishing with Dynamite,Los Angeles,Manhattan Beach
Grand Central Market,Los Angeles,DTLA
Majordomo,Los Angeles,Highland Park
Masa,Los Angeles,Echo Park
Mazal,Los Angeles,Lincoln Heights
Night + Market SAHM,Los Angeles,West Hollywood
Poltergeist,Los Angeles,Echo Park
Callie,San Diego,Gaslamp
Dija Mara,San Diego,Oceanside
A.R Valentien,San Diego,Torrey Pines
Wayfarer Bread & Pastry,San Diego,La Jolla
Yellow Deli,San Diego,Vista
Underbelly,San Diego,Little Italy
Himalayan Kitchen,San Diego,Encinitas
All Time,Los Angeles,Los Feliz
Bay Cities,Los Angeles,Santa Monica
Belle's Bagels,Los Angeles,Highland Park
Clark Street Diner,Los Angeles,Hollywood
Elephante,Los Angeles,Santa Monica
Gjenlina,Los Angeles,Venice
LA Sorted,Los Angeles,Silverlake
Living Color,Los Angeles,Malibu
Marouch,Los Angeles,East Hollywood
Night + Market SONG,Los Angeles,Silverlake
Northern Thai Food Club,Los Angeles,East Hollywood
Campfire,San Diego,Carlsbad
East Coast Pizza,San Diego,Cardiff
Crack Shack,San Diego,Encinitas
Black Rail,San Diego,Carlsbad
Valentina,San Diego,Leucadia
The Plot,San Diego,Carlsbad
Kona Kakes Tropical Cake Bakery,San Diego,Ocean Beach
Benny's Tacos,Los Angeles,Santa Monica
El Barrio,Los Angeles,Culver City
Kismet Rotisserie,Los Angeles,Los Feliz
Langer's Delicatessen,Los Angeles,Koreatown
Leo's Taco Truck,Los Angeles,Mid City
LOAM,Los Angeles,DTLA
Pine & Crane,Los Angeles,DTLA
Porto's Bakery,Los Angeles,Burbank
Quarter Sheets Pizza,Los Angeles,Echo Park
Saffy's,Los Angeles,East Hollywood
UOVO,Los Angeles,Santa Monica
Wrench & Rodent,San Diego,Oceanside
Juniper & Ivy,San Diego,Little Italy
Ballast Point,San Diego,Miramar
Cross Street Chicken and Beer,San Diego,Del Mar
Great Maple,San Diego,UTC
Monello,San Diego,Little Italy
Monarch Ocean Pub,San Diego,Del Mar
Kebab Shop,San Diego,Encinitas
Best Taco en Ensada,Los Angeles,Los Feliz
Cafe Tropical,Los Angeles,Silverlake
Cielito Lindo,Los Angeles,DTLA
Found Oyster,Los Angeles,East Hollywood
Girl & Goat,Los Angeles,Arts District
Grandmaster Records,Los Angeles,Hollywood
Jitlada,Los Angeles,East Hollywood
L&E Oyster Bar,Los Angeles,Silverlake
Lobster & Beer,Los Angeles,Palms
Luv2Eat,Los Angeles,Hollywood
Mirate,Los Angeles,Los Feliz
Nuthin' But Cutlets,Los Angeles,Los Feliz
Rappahannock,Los Angeles,DTLA
Sonoratown,Los Angeles,DTLA
Taste of Tehran,Los Angeles,Brentwood
Tet-a-Tet,Los Angeles,Silverlake
Watdongmoonlek Noodle,Los Angeles,Silverlake
Win-Dow,Los Angeles,Silverlake
Yucca's,Los Angeles,Los Feliz
Small Barn,San Diego,Temecula
Nine-Ten,San Diego,La Jolla
Herb & Sea,San Diego,Encinitas
SALUD,San Diego,Barrio Logan
Gelati & Peccati,San Diego,North Park
Melting Pot,San Diego,Gaslamp
Q'ero,San Diego,Encinitas
Sky Deck,San Diego,Del Mar
Izakaya Masa,San Diego,Hillcrest
Barbusa,San Diego,Little Italy
Belching Beaver,San Diego,Oceanside
Menya Ultra,San Diego,Kearny Mesa
Attitude Cafe,Los Angeles,La Brea
Bianca's Deli,Los Angeles,East Hollywood
Botanica,Los Angeles,Silverlake
Father's Office,Los Angeles,Santa Monica
Fred62,Los Angeles,Los Feliz
Good Goose Cafe,Los Angeles,Mid City
Home,Los Angeles,Los Feliz
Homestate,Los Angeles,Los Feliz
Jjukku Jjukku,Los Angeles,Koreatown
Kaijin Sushi,Los Angeles,Beverly Grove
Kalaveras,Los Angeles,Silverlake
Kismet,Los Angeles,Los Feliz
Kombu Sushi,Los Angeles,Silverlake
Little Dom's,Los Angeles,Los Feliz
Little Pine,Los Angeles,Silverlake
Lucifer's Pizza,Los Angeles,Los Feliz
Maury's Bagels,Los Angeles,Silverlake
Messhall Kitchen,Los Angeles,Los Feliz
Ruen Pair,Los Angeles,East Hollywood
Sushi Galas,Los Angeles,DTLA
Water Grill,Los Angeles,Santa Monica
Zankou Chicken,Los Angeles,East Hollywood
Nossa Caipirinha,Los Angeles,Los Feliz
Tower 13,San Diego,Cardiff
V. G Donut & Bakery,San Diego,Cardiff
Death by Tequilla,San Diego,Encinitas
Local Tap House,San Diego,Oceanside
OB Noodle House,San Diego,Ocean Beach
Zizikis,San Diego,Del Mar
Viewpoint Brewery,San Diego,Del Mar
La Papagayo,San Diego,Leucadia
BBQ + RICE,Los Angeles,Silverlake
Bludso's,Los Angeles,La Brea
Blue Ribbon Sushi,Los Angeles,Beverly Grove
Petite Tacqueria,Los Angeles,West Hollywood
Pijja palace,Los Angeles,Silverlake
Waverly,San Diego,Cardiff
El Agave,San Diego,Old Town
Tapas & Beer,San Diego,Gaslamp
Union Kitchen & Tap,San Diego,Encinitas
Tortilla Mia,San Diego,Carlsbad
Panca Peurvian Cuisine,San Diego,Oceanside
